"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SUICIDE","TOT","100000PER","A","2014",12.3,
"AUS","SUICIDE","TOT","100000PER","A","2015",12.8,
"AUT","SUICIDE","TOT","100000PER","A","2014",13.9,
"AUT","SUICIDE","TOT","100000PER","A","2015",12.9,
"AUT","SUICIDE","TOT","100000PER","A","2016",12.2,
"BEL","SUICIDE","TOT","100000PER","A","2014",16.1,
"BEL","SUICIDE","TOT","100000PER","A","2015",15.8,
"CZE","SUICIDE","TOT","100000PER","A","2014",13.3,
"CZE","SUICIDE","TOT","100000PER","A","2015",12.3,
"CZE","SUICIDE","TOT","100000PER","A","2016",11.7,
"DNK","SUICIDE","TOT","100000PER","A","2014",10.6,
"DNK","SUICIDE","TOT","100000PER","A","2015",9.4,
"FIN","SUICIDE","TOT","100000PER","A","2014",14.1,
"FIN","SUICIDE","TOT","100000PER","A","2015",13.1,
"FRA","SUICIDE","TOT","100000PER","A","2014",13.1,
"DEU","SUICIDE","TOT","100000PER","A","2014",10.8,
"DEU","SUICIDE","TOT","100000PER","A","2015",10.6,
"GRC","SUICIDE","TOT","100000PER","A","2014",4.7,
"GRC","SUICIDE","TOT","100000PER","A","2015",4.4,
"HUN","SUICIDE","TOT","100000PER","A","2014",17.8,
"HUN","SUICIDE","TOT","100000PER","A","2015",17.3,
"HUN","SUICIDE","TOT","100000PER","A","2016",16.2,
"ISL","SUICIDE","TOT","100000PER","A","2014",13.8,
"ISL","SUICIDE","TOT","100000PER","A","2015",12.3,
"ISL","SUICIDE","TOT","100000PER","A","2016",12.1,
"IRL","SUICIDE","TOT","100000PER","A","2014",10.6,
"ITA","SUICIDE","TOT","100000PER","A","2014",6,
"ITA","SUICIDE","TOT","100000PER","A","2015",5.7,
"JPN","SUICIDE","TOT","100000PER","A","2014",17.6,
"JPN","SUICIDE","TOT","100000PER","A","2015",16.6,
"KOR","SUICIDE","TOT","100000PER","A","2014",26.7,
"KOR","SUICIDE","TOT","100000PER","A","2015",25.8,
"LUX","SUICIDE","TOT","100000PER","A","2014",11.8,
"LUX","SUICIDE","TOT","100000PER","A","2015",11.1,
"MEX","SUICIDE","TOT","100000PER","A","2014",5.5,
"MEX","SUICIDE","TOT","100000PER","A","2015",5.5,
"NLD","SUICIDE","TOT","100000PER","A","2014",10.4,
"NLD","SUICIDE","TOT","100000PER","A","2015",10.5,
"NLD","SUICIDE","TOT","100000PER","A","2016",10.5,
"NOR","SUICIDE","TOT","100000PER","A","2014",10.5,
"NOR","SUICIDE","TOT","100000PER","A","2015",11.1,
"POL","SUICIDE","TOT","100000PER","A","2014",14.8,
"POL","SUICIDE","TOT","100000PER","A","2015",13.5,
"PRT","SUICIDE","TOT","100000PER","A","2014",10.2,
"SVK","SUICIDE","TOT","100000PER","A","2014",9.7,
"ESP","SUICIDE","TOT","100000PER","A","2014",7.6,
"ESP","SUICIDE","TOT","100000PER","A","2015",6.9,
"SWE","SUICIDE","TOT","100000PER","A","2014",11.4,
"SWE","SUICIDE","TOT","100000PER","A","2015",11.7,
"SWE","SUICIDE","TOT","100000PER","A","2016",11.2,
"CHE","SUICIDE","TOT","100000PER","A","2014",12,
"CHE","SUICIDE","TOT","100000PER","A","2015",12.5,
"GBR","SUICIDE","TOT","100000PER","A","2014",7.4,
"GBR","SUICIDE","TOT","100000PER","A","2015",7.5,
"USA","SUICIDE","TOT","100000PER","A","2014",13.5,
"USA","SUICIDE","TOT","100000PER","A","2015",13.8,
"BRA","SUICIDE","TOT","100000PER","A","2014",5.7,
"BRA","SUICIDE","TOT","100000PER","A","2015",6,
"CHL","SUICIDE","TOT","100000PER","A","2014",10.4,
"CHL","SUICIDE","TOT","100000PER","A","2015",10.7,
"EST","SUICIDE","TOT","100000PER","A","2014",17.5,
"EST","SUICIDE","TOT","100000PER","A","2015",14.1,
"ISR","SUICIDE","TOT","100000PER","A","2014",5.5,
"ISR","SUICIDE","TOT","100000PER","A","2015",4.9,
"SVN","SUICIDE","TOT","100000PER","A","2014",16.9,
"SVN","SUICIDE","TOT","100000PER","A","2015",18.1,
"ZAF","SUICIDE","TOT","100000PER","A","2014",1.2,
"ZAF","SUICIDE","TOT","100000PER","A","2015",1,
"TUR","SUICIDE","TOT","100000PER","A","2014",2.3,
"TUR","SUICIDE","TOT","100000PER","A","2015",2.1,
"COL","SUICIDE","TOT","100000PER","A","2014",4.9,
"COL","SUICIDE","TOT","100000PER","A","2015",5.3,
"LVA","SUICIDE","TOT","100000PER","A","2014",18.1,
"LVA","SUICIDE","TOT","100000PER","A","2015",18.1,
"LTU","SUICIDE","TOT","100000PER","A","2014",29.8,
"LTU","SUICIDE","TOT","100000PER","A","2015",29,
"LTU","SUICIDE","TOT","100000PER","A","2016",26.7,
"CRI","SUICIDE","TOT","100000PER","A","2014",5.7,
